waist_yaw_joint,220,12.042771838760874,0,0,0,0,0,0,0.0,0.0,1.0,-2.6179938779914944,2.6179938779914944
waist_roll_joint,10,1,0,0,0,0,0,0,1.0,0.0,0.0,-0.3490658503988659,0.3490658503988659
waist_pitch_joint,10,1,-0.02,0,0.00500000000000667,0,0,0,0.0,1.0,0.0,-0.4886921905584123,0.41887902047863906
head_joint,6,12.775810124598491,0.0302999999999533,0,0.288960095036924,0,0,0,0.0,0.0,1.0,-0.7853981633974483,0.7853981633974483
imu_in_torso_joint,,,0,0,0.111849999999993,0,0,0,0,0,0,,
left_shoulder_pitch_joint,60,13.613568165555769,0.0302999999999998,0.12,0.281523558637218,0.0872664625997163,0,0,0.0,1.0,0.0,-2.8797932657906435,2.8797932657906435
left_shoulder_roll_joint,60,13.613568165555769,0,0.0853246861912147,0,-0.0872664625997163,0,0,1.0,0.0,0.0,-0.08726646259971647,2.6179938779914944
left_shoulder_yaw_joint,24,15.707963267948966,0,0.0120000000000015,-0.147999999999998,0,0,0,0.0,0.0,1.0,-2.792526803190927,2.792526803190927
left_elbow_joint,24,15.707963267948966,0.015,0,-0.117000000000001,0,0,0,0.0,1.0,0.0,-1.0471975511965976,2.0943951023931953
left_wrist_roll_joint,24,15.707963267948966,0.113,0,-0.0150000000000012,0,0,0,1.0,0.0,0.0,-2.792526803190927,2.792526803190927
left_wrist_pitch_joint,6,12.775810124598491,0.0590000000000296,0,0,0,0,0,0.0,1.0,0.0,-1.6231562043547265,1.6231562043547265
left_wrist_yaw_joint,6,12.775810124598491,0.0459999999999999,0,0,0,0,0,0.0,0.0,1.0,-1.6231562043547265,1.6231562043547265
left_hand_palm_joint,,,0,0,0,0,0,0,0,0,0,,
right_shoulder_pitch_joint,60,13.613568165555769,0.0303000000000002,-0.12,0.281523558637223,-0.0872664625997168,0,0,0.0,1.0,0.0,-2.87979326579064,2.8797932657906435
right_shoulder_roll_joint,60,13.613568165555769,0,-0.0853246861911568,0,0.0872664625997168,0,0,1.0,0.0,0.0,-2.6179938779914944,0.08726646259971647
right_shoulder_yaw_joint,24,15.707963267948966,0,-0.0119984599105831,-0.147000134740367,0,0,0,0.0,0.0,1.0,-2.792526803190927,2.792526803190927
right_elbow_joint,24,15.707963267948966,0.0149999999999994,0,-0.118,0,0,0,0.0,1.0,0.0,-1.0471975511965976,2.0943951023931953
right_wrist_roll_joint,24,15.707963267948966,0.113000000000002,0,-0.0149999999999992,0,0,0,1.0,0.0,0.0,-2.792526803190927,2.792526803190927
right_wrist_pitch_joint,6,12.775810124598491,0.0590000000000295,0,0,0,0,0,0.0,1.0,0.0,-1.6231562043547265,1.6231562043547265
right_wrist_yaw_joint,6,12.775810124598491,0.0459999999999997,0,0,0,0,0,0.0,0.0,1.0,-1.6231562043547265,1.6231562043547265
right_hand_palm_joint,,,0,0,0,0,0,0,0,0,0,,
imu_in_pelvis_joint,,,-0.00287000000011174,0,-0.21015,0,0,0,0,0,0,,
left_hip_pitch_joint,220,12.042771838760874,0,0.11999999999997,-0.176453903091725,-0.26179938779914,0,0,0.0,1.0,0.25882,-2.6878070480712672,2.9321531433504737
left_hip_roll_joint,220,12.042771838760874,0.0163025830474185,0.0168284752077701,-0.0628046719532485,0.26179938779914,0,0,1.0,0.0,0.0,-0.6981317007977318,1.2217304763960306
left_hip_yaw_joint,220,12.042771838760874,0,0,0,0,0,0,0.0,0.0,1.0,-2.7576202181510405,2.7576202181510405
left_knee_joint,320,14.660765716752367,-0.0163025830480812,0,-0.370000000000686,0,0,0,0.0,1.0,0.0,-0.12217304763960307,2.443460952792061
left_ankle_pitch_joint,10,1,0,0.000200013598689153,-0.414999999984657,0,0,0,0.0,1.0,0.0,-0.9075712110370513,0.5235987755982988
left_ankle_roll_joint,10,1,0,0,0,0,0,0,1.0,0.0,0.0,-0.3490658503988659,0.3490658503988659
right_hip_pitch_joint,220,12.042771838760874,0,-0.12000000000003,-0.176453903091742,0.26179938779916,0,0,0.0,0.965925826289066,0.258819045102531,-2.6878070480712672,2.9321531433504737
right_hip_roll_joint,220,12.042771838760874,0.016302583047427,-0.0168284752077021,-0.0628046719532634,-0.26179938779916,0,0,1.0,0.0,0.0,-1.2217304763960306,0.6981317007977318
right_hip_yaw_joint,220,12.042771838760874,0,0,0,0,0,0,0.0,0.0,1.0,-2.7576202181510405,2.7576202181510405
right_knee_joint,320,14.660765716752367,-0.0163025830480783,0,-0.370000000000683,0,0,0,0.0,1.0,0.0,-0.12217304763960307,2.443460952792061
right_ankle_pitch_joint,10,1,0,-0.000200013598673193,-0.414999999999995,0,0,0,0.0,1.0,0.0,-0.9075712110370513,0.5235987755982988
right_ankle_roll_joint,10,1,0,0,0,0,0,0,1.0,0.0,0.0,-0.3490658503988659,0.3490658503988659
